Plot,Code,Dominant,Quarter,Dominant_Species,H,B,L,T,R,O,S,Comments,trt,Replication,year
1,H:D-L:5,1,A,H,41,8,0,0,0,0,0,,2,5,1
1,H:D-L:5,1,B,H,32,3,0,0,0,0,6,,2,5,1
1,H:D-L:5,1,C,H,32,2,0,0,0,0,0,,2,5,1
1,H:D-L:5,1,D,H,18,5,0,0,0,0,0,,2,5,1
2,R:D-C:1,1,A,R,0,0,0,1,48,3,2,,0,1,1
2,R:D-C:1,1,B,R,0,6,0,0,52,6,0,,0,1,1
2,R:D-C:1,1,C,R,2,116,0,0,6,6,1,,0,1,1
2,R:D-C:1,1,D,R,9,8,0,0,27,3,2,,0,1,1
3,R:D-L:3,1,A,R,39,5,0,0,0,1,0,,2,3,1
3,R:D-L:3,1,B,R,33,19,0,0,0,0,0,,2,3,1
3,R:D-L:3,1,C,R,34,7,0,0,2,0,0,ants,2,3,1
3,R:D-L:3,1,D,R,16,1,0,0,6,0,0,,2,3,1
4,O:D-L:2,1,A,O,37,23,0,0,12,1,14,,2,2,1
4,O:D-L:2,1,B,O,30,9,0,1,7,1,16,,2,2,1
4,O:D-L:2,1,C,O,37,5,0,0,0,0,0,,2,2,1
4,O:D-L:2,1,D,O,21,19,0,0,0,0,0,,2,2,1
5,T:D-E:2,1,A,T,103,6,0,0,0,0,0,,1,2,1
5,T:D-E:2,1,B,T,64,13,0,0,0,0,0,,1,2,1
5,T:D-E:2,1,C,T,44,117,0,1,0,0,0,,1,2,1
5,T:D-E:2,1,D,T,56,60,0,1,0,1,0,,1,2,1
6,R:M-C:4,0,A,R,,,,,171,,,,0,4,1
6,R:M-C:4,0,B,R,,,,,155,,,,0,4,1
6,R:M-C:4,0,C,R,,,,,204,,,,0,4,1
6,R:M-C:4,0,D,R,,,,,211,,,,0,4,1
7,O:D-L:4,1,A,O,53,54,0,0,0,2,0,,2,4,1
7,O:D-L:4,1,B,O,33,45,0,0,0,0,0,,2,4,1
7,O:D-L:4,1,C,O,50,60,0,0,0,0,0,,2,4,1
7,O:D-L:4,1,D,O,37,102,0,0,0,0,0,,2,4,1
8,S:D-E:5,1,A,S,26,74,0,0,0,0,24,,1,5,1
8,S:D-E:5,1,B,S,24,70,0,6,0,1,47,,1,5,1
8,S:D-E:5,1,C,S,60,70,0,0,1,0,5,,1,5,1
8,S:D-E:5,1,D,S,75,90,1,0,0,0,44,,1,5,1
9,S:M-L:4,0,A,S,,,,,,,121,,2,4,1
9,S:M-L:4,0,B,S,,,,,,,46,,2,4,1
9,S:M-L:4,0,C,S,,,,,,,90,,2,4,1
9,S:M-L:4,0,D,S,,,,,,,102,,2,4,1
10,B:D-E:2,1,A,B,70,67,0,0,0,0,0,,1,2,1
10,B:D-E:2,1,B,B,73,105,0,0,0,0,0,,1,2,1
10,B:D-E:2,1,C,B,32,105,0,0,1,0,0,,1,2,1
10,B:D-E:2,1,D,B,50,67,0,1,1,0,4,,1,2,1
11,R:M-L:3,0,A,R,,,,,165,,,,2,3,1
11,R:M-L:3,0,B,R,,,,,229,,,,2,3,1
11,R:M-L:3,0,C,R,,,,,172,,,,2,3,1
11,R:M-L:3,0,D,R,,,,,172,,,,2,3,1
12,S:M-C:5,0,A,S,,,,,,,96,,0,5,1
12,S:M-C:5,0,B,S,,,,,,,111,,0,5,1
12,S:M-C:5,0,C,S,,,,,,,105,,0,5,1
12,S:M-C:5,0,D,S,,,,,,,140,,0,5,1
13,S:M-L:5,0,A,S,,,,,,,158,,2,5,1
13,S:M-L:5,0,B,S,,,,,,,163,,2,5,1
13,S:M-L:5,0,C,S,,,,,,,129,,2,5,1
13,S:M-L:5,0,D,S,,,,,,,153,,2,5,1
14,H:M-E:3,0,A,H,138,,,,,,,,1,3,1
14,H:M-E:3,0,B,H,74,,,,,,,,1,3,1
14,H:M-E:3,0,C,H,113,,,,,,,,1,3,1
14,H:M-E:3,0,D,H,80,,,,,,,,1,3,1
15,O:M-C:1,0,A,O,,,,,,113,,,0,1,1
15,O:M-C:1,0,B,O,,,,,,91,,,0,1,1
15,O:M-C:1,0,C,O,,,,,,194,,,0,1,1
15,O:M-C:1,0,D,O,,,,,,106,,,0,1,1
16,R:D-E:5,1,A,R,0,75,0,1,26,0,1,,1,5,1
16,R:D-E:5,1,B,R,1,62,1,0,7,3,5,,1,5,1
16,R:D-E:5,1,C,R,11,47,3,0,10,1,1,,1,5,1
16,R:D-E:5,1,D,R,8,32,1,2,15,3,13,,1,5,1
17,O:D-E:3,1,A,O,17,94,1,0,8,5,5,,1,3,1
17,O:D-E:3,1,B,O,23,74,0,0,30,3,0,,1,3,1
17,O:D-E:3,1,C,O,26,71,0,1,1,7,26,,1,3,1
17,O:D-E:3,1,D,O,30,51,0,0,35,1,0,,1,3,1
18,T:D-E:4,1,A,T,31,96,0,7,0,3,9,,1,4,1
18,T:D-E:4,1,B,T,26,69,0,9,2,2,19,,1,4,1
18,T:D-E:4,1,C,T,24,44,0,3,1,4,13,,1,4,1
18,T:D-E:4,1,D,T,40,39,0,2,2,1,15,,1,4,1
19,H:D-L:1,1,A,H,34,4,0,0,0,1,1,,2,1,1
19,H:D-L:1,1,B,H,23,0,0,0,0,0,0,,2,1,1
19,H:D-L:1,1,C,H,43,1,0,0,0,0,0,,2,1,1
19,H:D-L:1,1,D,H,15,1,0,0,0,0,0,,2,1,1
20,O:D-E:5,1,A,O,52,95,0,0,0,17,10,,1,5,1
20,O:D-E:5,1,B,O,59,29,0,0,8,5,7,,1,5,1
20,O:D-E:5,1,C,O,32,32,1,0,0,4,28,,1,5,1
20,O:D-E:5,1,D,O,27,14,0,0,8,6,34,,1,5,1
21,H:D-E:2,1,A,H,84,18,0,0,0,0,0,,1,2,1
21,H:D-E:2,1,B,H,69,19,0,0,0,0,0,,1,2,1
21,H:D-E:2,1,C,H,46,38,0,0,0,0,0,,1,2,1
